Name,Nationality,Profession,Picture
,,,
Abraham_Lincoln,USA,Politician,Abraham_Lincoln.jpeg
,,,
Benito Juarez,Mexico,Politician,Benito_Jurerz.jpeg
,,,
Claude Monet,France,Painter,Claude_Monet.jpeg
,,,
Charles Darwin,England,Scientist,Charles_Darwin.jpeg
,,,
Deng Xiaoping,China,Politiciann,Deng_Xiaoping.jpeg
,,,
Frederick Chopin,Poland,Musician,Frederick_Chopin.jpeg
,,,
George Washington Carver,UsA,Scientist,George_Washington_Carver.jpeg
,,,
Georgia O’Keeffe,USA,Writer,Georgia_OKeeffe.jpeg
,,,
Mahatma Gandhi,India,Politician,Mahatma_Gandhi.jpeg
,,,
Mark Twain,USA,Writer,Mark_Twain.jpeg
,,,
Muhammad Jinnah,Pakistan,Politician,Muhammad_Ali_Jinnah.jpeg
,,,
Pablo Picasso,Spain,Painter,Pablo_Picasso.jpeg
,,,
Santos Dumont,Brazil,Scientist,Santos_Dumont.jpeg
,,,
